Rank,Song,Artist,Year,Lyrics,Source
36,mama cant buy you love,elton john,1979, baby so they give you anything darling all the joy money can bring baby do they bring you happiness darling youre no different from the restcant you see that its love you really need take my hand and ill show what a love could be before its too latemama dont want you daddy dont want you give it up baby baby mama cant buy you lovemama dont want you daddy dont need you give it up baby baby mama cant buy you lovebaby fancy friends showing you a smile darling rich relations for a while baby i can only give you love darling this old heart should be enoughall i need is a chance to make you mine let me in i can change the way you feel inside before its too latemama dont want you daddy dont want you give it up baby baby mama cant buy you lovemama dont want you daddy dont want you give it up baby baby mama cant buy you lovemama dont want you daddy dont want you give it up baby baby mama cant buy you love  ,1.0
16,little jeannie,elton john,1980, oh little jeannie you got so much love little jeannie and you take it where it strikes and give it to the likes of me oh little jeannie she got so much love little jeannie so i see you when i can you make me all a man can beand i want you to be my acrobat i want you to be my lover oh there were others who would treat you cruel and oh jeannie you were always someones foollittle jeannie you got so much time little jeannie though youve grown beyond your years you still retain the fears of youth oh little jeannie you got so much time little jeannie but youre burning it up so fast searching for some lasting truthand i want you to be my acrobat i want you to be my lover oh there were others who would treat you cruel but oh jeannie i will always be your fooland i want you to be my acrobat i want you to be my lover oh there were others and ive known quite a few but oh oh jeannie im still in love with youyou stepped into my life from a bad dream making the life that i had seem suddenly shiny and new oh jeannie im so in love with youyou stepped into my life from a bad dream making the life that i had seem suddenly shiny and new oh jeannie im so in love with youyou stepped into my life from a bad dream making the life that i had seem suddenly shiny and new oh jeannie im so in love with you  ,1.0
62,blue eyes,elton john,1982, blue eyes babys got blue eyes like a deep blue sea on a blue blue dayblue eyes babys got blue eyes when the morning comes ill be far away and i sayblue eyes holding back the tears holding back the pain babys got blue eyes and shes alone againblue eyes babys got blue eyes like a clear blue sky watching over meblue eyes ooh i love blue eyes when im by her side where i long to be i will seeblue eyes laughing in the sun laughing in the rain babys got blue eyes and i am home and i am home againblue eyes laughing in the sun laughing in the rain babys got blue eyes and i am home again ,1.0
76,empty garden hey hey johnny,elton john,1982, what happened here as the new york sunset disappeared i found an empty garden among the flagstones there who lived here he must have been a gardener that cared a lot who weeded out the tears and grew a good crop and now it all looks strange its funny how one insect can damage so much grainand whats it for this little empty garden by the brownstone door and in the cracks along the sidewalk nothing grows no more who lived here he must have been a gardener that cared a lot who weeded out the tears and grew a good crop and we are so amazed were crippled and were dazed a gardener like that one no one can replaceand ive been knocking but no one answers and ive been knocking most of the day oh and ive been calling oh hey hey johnny cant you come out to playand through their tears some say he farmed his best in younger years but hed have said that roots grow stronger if only he could hear who lived there he must have been a gardener that cared a lot who weeded out the tears and grew a good crop now we pray for rain and with every drop that falls we hear we hear your nameand ive been knocking but no one answers and ive been knocking most of the day oh and ive been calling oh hey hey johnny cant you come out to playand ive been knocking but no one answers and ive been knocking most all the day oh and ive been calling oh hey hey johnny cant you come out can you come out to play johnny cant you come out to play in your empty garden johnny cant you come out to play in your empty garden johnny cant you come out to play in your empty garden johnny cant you come out to play in your empty garden johnny cant you come out to play in your empty garden johnny cant you come out to play in your empty garden johnny ,1.0
74,im still standing,elton john,1983, you could never know what its like your blood like winter freezes just like ice and theres a cold lonely light that shines from you youll wind up like the wreck you hide behind that mask you useand did you think this fool could never win well look at me im coming back again i got a taste of love in a simple way and if you need to know while im still standing you just fade awaydont you know im still standing better than i ever did looking like a true survivor feeling like a little kid im still standing after all this time picking up the pieces of my life without you on my mindim still standing yeah yeah yeah im still standing yeah yeah yeahonce i never could hope to win you starting down the road leaving me again the threats you made were meant to cut me down and if our love was just a circus youd be a clown by nowyou know im still standing better than i ever did looking like a true survivor feeling like a little kid im still standing after all this time picking up the pieces of my life without you on my mindim still standing yeah yeah yeah im still standing yeah yeah yeahdont you know im still standing better than i ever did looking like a true survivor feeling like a little kid im still standing after all this time picking up the pieces of my life without you on my mindim still standing yeah yeah yeah im still standing yeah yeah yeahim still standing yeah yeah yeah im still standing yeah yeah yeah ,1.0
33,i guess thats why they call it the blues,elton john,1984, dont wish it away dont look at it like its forever between you and me i could honestly say that things can only get betterand while im away dust out the demons inside and it wont be long before you and me run to the place in our hearts where we hideand i guess thats why they call it the blues time on my hands could be time spent with you laughing like children living like lovers rolling like thunder under the covers and i guess thats why they call it the bluesjust stare into space picture my face in your hands live for each second without hesitation and never forget im your manwait on me girl cry in the night if it helps but more than ever i simply love you more than i love life itselfand i guess thats why they call it the blues time on my hands could be time spent with you laughing like children living like lovers rolling like thunder under the covers and i guess thats why they call it the blueswait on me girl cry in the night if it helps but more than ever i simply love you more than i love life itselfand i guess thats why they call it the blues time on my hands could be time spent with you laughing like children living like lovers rolling like thunder under the covers and i guess thats why they call it the bluesand i guess thats why they call it the blues and i guess thats why they call it the blues ,1.0
54,sad songs say so much,elton john,1984, guess there are times when we all need to share a little pain and ironing out the rough spots is the hardest part when memories remain and its times like these when we all need to hear the radio cause from the lips of some old singer we can share the troubles we already knowturn em on turn em on turn on those sad songs when all hope is gone why dont you tune in and turn them onthey reach into your room oh oh oh just feel their gentle touch gentle touch when all hope is gone sad songs say so muchif someone else is suffering enough oh to write it down when every single word makes sense then its easier to have those songs around the kick inside is in the line that finally gets to you and it feels so good to hurt so bad and suffer just enough to sing the bluesso turn em on turn em on turn on those sad songs when all hope is gone why dont you tune in and turn them onthey reach into your room oh oh oh just feel their gentle touch gentle touch when all hope is gone you know sad songs say so muchsad songs they say sad songs they say sad songs they say sad songs they say so muchso turn em on turn em on turn em on turn em on turn on those sad songs when all hope is gone why dont you tune in and turn them onthey reach into your room oh oh oh just feel their gentle touch gentle touch when all hope is gone you know sad songs say so much when all hope is gone you know sad songs say so muchwhen ever little bit of hope is gone sad songs say so much when ever little bit of hope is gone sad songs say so much when all hope is gone sad songs say ,1.0
87,nikita,elton john,1986, hey nikita is it cold in your little corner of the world you could roll around the globe and never find a warmer soul to knowoh i saw you by the wall ten of your tin soldiers in a row with eyes that looked like ice on fire the human heart a captive in the snowoh nikita you will never know anything about my home ill never know how good it feels to hold you nikita i need you so oh nikita is the other side of any given line in time counting ten tin soldiers in a row oh no nikita youll never knowdo you ever dream of me do you ever see the letters that i write when you look up through the wire nikita do you count the stars at nightand if there comes a time guns and gates no longer hold you in and if youre free to make a choice just look towards the west and find a friendoh nikita you will never know anything about my home ill never know how good it feels to hold you nikita i need you so oh nikita is the other side of any given line in time counting ten tin soldiers in a row oh no nikita youll never knowoh nikita you will never know anything about my home ill never know how good it feels to hold you nikita i need you so oh nikita is the other side of any given line in time counting ten tin soldiers in a row oh no nikita youll never knownikita counting ten tin soldiers in a row nikita counting ten tin soldiers in a row nikita counting ten tin soldiers in a row nikita ,1.0
43,i dont wanna go on with you like that,elton john,1988, ive always said that ones enough to love now i hear youre bragging one is not enough well someone told me youre not satisfied you got plans to make me one of four or fivei guess this kind of things just in your blood but you wont catch me carving up my love i aint no puzzle piece that needs to fit if it takes more than me lets call it quitscause i dont wanna go on with you like that dont wanna be a feather in your cap i just dont wanna tell you honey i aint mad but i dont wanna go on with you like that woah woah woah oh yeahit gets so hard sometimes to understand this vicious circles getting out of hand dont need an extra eye to see that the fire spreads a faster in a breezeand i dont wanna go on with you like that dont wanna be a feather in your cap i just dont wanna tell you honey i aint mad but i dont wanna go on with you like thatno i dont wanna go on with you like that one more set of boots on your welcome mat youll just have to quit them if you want me back cause i dont wanna go on with you like that oh oh oh oh yeahoh if you wanna spread it around sister thats just fine but i dont want no second hand feeding me lines if you wanna hold someone in the middle of the night call out the guards turn out the lightand i dont wanna go on with you like that dont wanna be a feather in your cap i just dont wanna tell you honey i aint mad but i dont wanna go on with you like thatno i dont wanna go on with you like that one more set of boots on your welcome mat youll just have to quit them if you want me back no i dont wanna go on with you like that oh oh oh oh yeah oh oh oh oh yeahi dont wanna i dont wanna ,1.0
71,candle in the wind,elton john,1988, goodbye norma jean though i never knew you at all you had the grace to hold yourself while those around you crawled they crawled out of the woodwork and they whispered into your brain they set you on the treadmill and they made you change your nameand it seems to me you lived your life like a candle in the wind never knowing who to cling to when the rain set in and i would liked to have known you but i was just a kid your candle burned out long before your legend ever didloneliness was tough the toughest role you ever played hollywood created a superstar and pain was the price you paid even when you died oh the press still hounded you all the papers had to say was that marilyn was found in the nudeand it seems to me you lived your life like a candle in the wind never knowing who to cling to when the rain set in and i would liked to have known you but i was just a kid your candle burned out long before your legend ever didgoodbye norma jean though i never knew you at all you had the grace to hold yourself while those around you crawledgoodbye norma jean from the young man in the twenty second row who sees you as something as more than sexual more than just our marilyn monroeand it seems to me you lived your life like a candle in the wind never knowing who to cling to when the rain set in and i would liked to have known you but i was just a kid your candle burned out long before your legend ever didthe candle burned out long before your legend ever did ,1.0
43,the one,elton john,1992, i saw you dancing out the ocean running fast along the sand a spirit born of earth and water fire flying from your handsin the instant that you love someone in the second that the hammer hits reality runs up your spine and the pieces finally fitand all i ever needed was the one like freedom fields where wild horses run when stars collide like you and i no shadows block the sun youre all ive ever needed baby youre the onethere are caravans we follow drunken nights in dark hotels when chances breathe between the silence where sex and love no longer gel ohfor each man in his time is cain until he walks along the beach and sees his future in the water a long lost heart within his reachand all i ever needed was the one like freedom fields where wild horses run when stars collide like you and i no shadows block the sun youre all ive ever needed oh baby youre the oneand all i ever needed was the one like freedom fields where wild horses run when stars collide like you and i no shadows block the sun oh youre all ive ever needed oh baby youre the oneall i ever needed was the one like freedom fields where wild horses run when stars collide like you and i no shadows block the sun oh youre all ive ever needed oh baby youre the one ,1.0
18,can you feel the love tonight,elton john,1994, theres a calm surrender to the rush of day when the heat of a rolling world can be turned away an enchanted moment and it sees me through its enough for this restless warrior just to be with youand can you feel the love tonight it is where we are its enough for this wide eyed wanderer that we got this far and can you feel the love tonight how its laid to rest its enough to make kings and vagabonds believe the very besttheres a time for everyone if they only learn that the twisting kaleidoscope moves us all in turn theres a rhyme and reason to the wild outdoors when the heart of this star crossed voyager beats in time with yoursand can you feel the love tonight it is where we are its enough for this wide eyed wanderer that we got this far and can you feel the love tonight how its laid to rest its enough to make kings and vagabonds believe the very best its enough to make kings and vagabonds believe the very best ,1.0
59,believe,elton john,1995, i believe in love its all we got love has no boundaries costs nothing to touch war makes money cancer sleeps curled up in my father and that means something to me churches and dictators politics and papers everything crumbles sooner or later but love i believe in lovei believe in love its all we got love has no boundaries no borders to cross love is simple hate breeds those who think difference is the child of disease father and son make love and guns families together kill someone without love i believe in lovewithout love i wouldnt believe in anything that lives and breathes without love id have no anger i wouldnt believe in the right to stand here without love i wouldnt believe i couldnt believe in you and i wouldnt believe in me without lovei believe in love i believe in love i believe in love ,1.0
1,something about the way you look tonight  candle in the wind 1997,elton john,1997,,
8,candle in the wind 1997,elton john,1998, goodbye englands rose may you ever grow in our hearts you were the grace that placed itself where lives were torn apart you called out to our country and you whispered to those in pain now you belong to heaven and the stars spell out your nameand it seems to me you lived your life like a candle in the wind never fading with the sunset when the rain set in and your footsteps will always fall here along englands greenest hills your candles burned out long before your legend ever willloveliness weve lost these empty days without your smile this torch well always carry for our nations golden child and even though we try the truth brings us to tears all our words cannot express the joy you brought us through the yearsand it seems to me you lived your life like a candle in the wind never fading with the sunset when the rain set in and your footsteps will always fall here along englands greenest hills your candles burned our long before your legend ever willgoodbye englands rose may you ever grow in our hearts you were the grace that placed itself where lives were torn apart goodbye englands rose from a country lost without your soul wholl miss the wings of your compassion more than youll ever knowand it seems to me you lived your life like a candle in the wind never fading with the sunset when the rain set in and your footsteps will always fall here along englands greenest hills your candles burned out long before your legend ever will ,1.0
