Rank,Song,Artist,Year,Lyrics,Source
78,thriller,michael jackson,1984, its close to midnight and something evils lurking in the dark under the moonlight you see a sight that almost stops your heart you try to scream but terror takes the sound before you make it you start to freeze as horror looks you right between the eyes youre paralyzedcause this is thriller thriller night and no ones gonna save you from the beast about to strike you know its thriller thriller night youre fighting for your life inside a killer thriller tonightyou hear the door slam and realize theres nowhere left to run you feel the cold hand and wonder if youll ever see the sun you close your eyes and hope that this is just imagination but all the while you hear the creature creepin up behind youre out of timecause this is thriller thriller night there aint no second chance against the thing with forty eyes you know its thriller thriller night youre fighting for your life inside a killer thriller tonightnight creatures call and the dead start to walk in their masquerade theres no escapin the jaws of the alien this time theyre open wide this is the end of your lifetheyre out to get you theres demons closing in on every side they will possess you unless you change the number on your dial now is the time for you and i to cuddle close together all through the night ill save you from the terrors on the screen ill make you seethat its a thriller thriller night cause i can thrill you more than any ghost would ever dare try girl this is thriller thriller night so let me hold you tight and share a killer diller chiller thriller here tonightthat its a thriller thriller night cause i can thrill you more than any ghost would ever dare try girl this is thriller thriller night so let me hold you tight and share a killer dillerdarkness falls across the land the midnight hour is close at hand creatures crawl in search of blood to terrorize yawls neighborhood and whosoever shall be found without the soul for getting down must stand and face the hounds of hell and rot inside a corpses shellthe foulest stench is in the air the funk of forty thousand years and grizzly ghouls from every tomb are closing in to seal your doom and though you fight to stay alive your body starts to shiver for no mere mortal can resist the evil of the thriller ,1.0
59,bad,michael jackson,1987, your butt is mine gonna tell you right just show your face in broad daylight im telling you on how i feel gonna hurt your mind dont shoot to kill come oncome on lay it on me all rightim giving you on count of three to show your stuff or let it be im telling you just watch your mouth i know your game what youre aboutwell they say the skys the limit and to me thats really true but my friend you have seen nothin just wait til i get throughbecause im bad im bad come on you know im bad im bad come on you know you know im bad im bad come on you know and the whole world has to answer right now just to tell you once again whos badthe word is out youre doin wrong gonna lock you up before too long your lyin eyes gonna tell you right so listen up dont make a fight your talk is cheap youre not a man youre throwin stones to hide your handsbut they say the skys the limit and to me thats really true and my friends you have seen nothin just wait til i get throughbecause im bad im bad come on you know im bad im bad come on you know you know im bad im bad come on you know and the whole world has to answer right now just to tell you once again whos badwe can change the world tomorrow this could be a better place if you dont like what im sayin then wont you slap my facebecause im bad im bad come on you know im bad im bad come on you know you know im bad im bad come on you know and the whole world has to answer right now just to tell you once again whos badbecause im bad im bad come on you know im bad im bad come on you know you know im bad im bad come on you know and the whole world has to answer right now just to tell you once again whos badwhos bad ,1.0
21,man in the mirror,michael jackson,1988, im gonna make a change for once in my life its gonna feel real good gonna make a difference gonna make it rightas i turn up the collar on my favorite winter coat this wind is blowing my mind i see the kids in the streets with not enough to eat who am i to be blind pretending not to see their needsa summer disregard a broken bottle top and a one man soul they follow each other on the wind ya know cause they got nowhere to go thats why i want you to knowim starting with the man in the mirror im asking him to change his ways and no message could have been any clearer if you want to make the world a better place take a look at yourself and then make a changeive been a victim of a selfish kind of love its time that i realize that there are some with no home not a nickel to loan could it be really me pretending that theyre not alonea willow deeply scarred somebodys broken heart and a washedout dream they follow the pattern of the wind ya see cause they got no place to be thats why im starting with meim starting with the man in the mirror im asking him to change his ways and no message could have been any clearer if you want to make the world a better place take a look at yourself and then make a changeim starting with the man in the mirror im asking him to change his ways and no message could have been any clearer if you want to make the world a better place take a look at yourself and then make that changeim starting with the man in the mirror oh yeah im asking him to change his ways better change no message could have been any clearer if you want to make the world a better place take a look at yourself and then make the change you gotta get it right while you got the time you cant close your your mindthen you close your mind that man that man that man that man with the man in the mirror man in the mirror oh yeah that man that man that man im asking him to change his ways better change no message could have been any clearer if you want to make the world a better place take a look at yourself and then make the changeoh no no noim gonna make a change its gonna feel real good chime on change just lift yourself you know youve got to stop it yourself yeah make that change ive got to make that change today hoo man in the mirror you got to you got to not let yourself brother hoo yeah make that change you know ive got to get that man that man man in the mirror youve got to move chime on chime on you got to stand up stand up stand up yeah make that change stand up and lift yourself now man in the mirror you know it you know it you know it you know it change make that change ,1.0
36,the way you make me feel,michael jackson,1988, go on girlhey pretty baby with the high heels on you give me fever like ive never ever known youre just a product of loveliness i like the groove of your walk your talk your dress i feel your fever from miles around ill pick you up in my car and well paint the town just kiss me baby and tell me twice that youre the one for methe way you make me feel the way you make me feel you really turn me on you really turn me on you knock me off of my feet you knock me off of my feet my lonely days are gone my lonely days are gonei like the feelin youre givin me just hold me baby and im in ecstasy oh ill be workin from nine to five to buy you things to keep you by my side i never felt so in love before just promise baby youll love me forevermore i swear im keepin you satisfied cause youre the one for methe way you make me feel the way you make me feel you really turn me on you really turn me on you knock me off of my feet now baby you knock me off of my feet my lonely days are gone my lonely days are gonego on girl go on hee hee aaow go on girli never felt so in love before promise baby youll love me forevermore i swear im keepin you satisfied cause youre the one for methe way you make me feel the way you make me feel you really turn me on you really turn me on you knock me off of my feet now baby you knock me off of my feet my lonely days are gone my lonely days are gonethe way you make me feel the way you make me feel you really turn me on you really turn me on you knock me off of my feet now baby you knock me off of my feet my lonely days are gone my lonely days are goneaint nobodys business aint nobodys business the way you make me fell aint nobodys business aint nobodys business but mine and my baby you really turn me on you knock me off of my feet oh my lonely days are gonegive it to me give me some time the way you make me feel come on be my girl i want to be with mine you really turn me on aint nobodys business you knock me off of my feet aint nobodys business but mine and my babys go on girl aaow my lonely days are gonehee hee aaow chika chika chika chika chika go on girl hee hee the way you make me feel hee hee hee you really turn me on you knock me off of my feet my lonely days are gonethe way you make me feel you really turn me on you knock me off of my feet my lonely days are gone ,1.0
61,dirty diana,michael jackson,1988, you never make me stay so take your weight off of me i know your every move so wont you just let me be ive been here times before but i was too blind to see that you seduce every man this time you wont seduce meshes saying thats okay hey baby do what you please i have the stuff the you want i am the thing that you need she looked me deep in the eyes shes touchin me so to start she says theres no turnin back she trapped me in her heartdirty diana nah dirty diana nah dirty diana nah dirty diana let me beoh no oh no oh noshe likes the boys in the band she knows when they come to town every musicians fan after the curtain comes down she waits at backstage doors for those who have prestige who promise fortune and fame a life thats so carefreeshes says thats okay hey baby do what you want ill be your night lovin thing ill be the freak you can taunt and i dont care what you say i want to go too far ill be your everything if you make me a stardirty diana nah dirty diana nah dirty diana nah dirty diana dirty diana nah dirty diana nah dirty diana nah dirty diana diana diana dirty diana its diana yeah yeahshe said i have to go home cause im real tired you see but i hate sleppin alone why dont you come with me i said my babys at home shes probably worried tonight i didnt call on the phone to say that im alrightdiana walked up to me she said im all yours tonight at that i ran to the phone sayin baby im alright i said but unlock the door because i forgot the key she said hes not coming back because hes sleeping with medirty diana nah dirty diana nah dirty diana nah dirty diana nah dirty diana nah dirty diana nah dirty diana nah dirty diana come on come on come on come on ,1.0
93,smooth criminal,michael jackson,1989, as he came into the window it was the sound of a crescendo he came into her apartment he left the bloodstains on the carpet she ran underneath the table he could see she was unable so she ran into the bedroom she was struck down it was her doomannie are you ok so annie are you ok are you ok annie annie are you ok so annie are you ok are you ok annie annie are you ok so annie are you ok are you ok annie annie are you ok so annie are you ok are you ok annieannie are you ok will you tell us that youre ok theres a sign in the window that he struck you  a crescendo annie he came into your apartment he left the bloodstains on the carpet then you ran into the bedroom you were struck down it was your doomannie are you ok so annie are you ok are you ok annie annie are you ok so annie are you ok are you ok annie annie are you ok so annie are you ok are you ok annie youve been hit by youve been hit by a smooth criminalso they came into the outway it was sunday  what a black day mouth to mouth resuscitation sounding heartbeats  intimidationannie are you ok so annie are you ok are you ok annie annie are you ok so annie are you ok are you ok annie annie are you ok so annie are you ok are you ok annie annie are you ok so annie are you ok are you ok annieannie are you ok will you tell us that youre ok theres a sign in the window that he struck you  a crescendo annie he came into your apartment left the bloodstains on the carpet then you ran into the bedroom you were struck down it was your doomannie are you ok so annie are you ok are you ok annie youve been hit by youve been struck by a smooth criminalokay i want everybody to clear the area right nowaaow annie are you ok i dont know will you tell us that youre ok i dont know theres a sign in the window i dont know that he struck you  a crescendo annie i dont know he came into your apartment i dont know left the bloodstains on the carpet i dont know why baby then you ran into the bedroom i dont know you were struck down it was your doom  annieannie are you ok dag gone it  baby will you tell us that youre ok dag gone it  baby theres a sign in the window dag gone it  baby that he struck you  a crescendo annie hoo hoo he came into your apartment dag gone it left the bloodstains on the carpet hoo hoo hoo then you ran into the bedroom dag gone ityou were struck down it was your doom  annie aaow ,1.0
14,black or white,michael jackson,1992, i took my baby on a saturday bang boy is that girl with you yes were one and the samenow i believe in miracles and a miracle has happened tonightbut if youre thinkin about my baby it dont matter if youre black or whitethey print my message in the saturday sun i had to tell them i aint second to noneand i told about equality and its true either youre wrong or youre rightbut if youre thinkin about my baby it dont matter if youre black or whitei am tired of this devil i am tired of this stuff i am tired of this business sew when the going gets rough i aint scared of your brother i aints scared of no sheets i aint scared of nobody girl when the goin gets meanprotection for gangs clubs and nations causing grief in human relations its a turf war on a global scale id rather hear both sides of the tale see its not about races just places faces where your blood comes from is were your space is ive seen the bright get duller im not going to spend my life being a colordont tell me you agree with me when i saw you kicking dirt in my eyebut if youre thinkin about my baby it dont matter if youre black or whitei said if youre thinkin of being my baby it dont matter if youre black or whitei said if youre thinkin of being my brother it dont matter if youre black or whiteooh ooh yea yea yea now ooh ooh yea yea yea nowits black its white its tough for them to get by its black its white x3 whoo ,1.0
19,remember the time,michael jackson,1992, do you remember when we fell in love we were so young and innocent then do you remember how it all began it just seemed like heaven so why did it enddo you remember back in the fall wed be together all day long do you remember us holding hands in each others eyes wed stare tell medo you remember the time when we fell in love do you remember the time when we first met girl do you remember the time when we fell in love do you remember the timedo you remember how we used to talk ya know wed stay on the phone at night till dawn do you remember all the things we said like i love you so ill never let you godo you remember back in the spring every morning birds would sing do you remember those special times theyll just go on and on in the back of my minddo you remember the time when we fell in love do you remember the time when we first met girl do you remember the time when we fell in love do you remember the timethose sweet memories will always be dear to me and girl no matter what was said i will never forget what we had now babydo you remember the time when we fell in love do you remember the time when we first met do you remember the time when we fell in love do you remember the timedo you remember the time when we fell in love do you remember the time when we first met do you remember the time when we fell in love do you remember the timeremember the times ooh remember the times do you remember girl remember the times on the phone you and me remember the times till dawn two or three what about us girlremember the times do you do you do you do you do you remember the times in the park on the beach remember the times you and me in spain remember the times what about what aboutremember the times ooh in the park remember the times after dark do you do you do you remember the times do you do you do you do you remember the times yeah yeah ,1.0
66,in the closet,michael jackson,1992, shes just a lover who makes me high is it worth the giving is it worth the try you cannot cleave it or put it in the furnace you cannot wet it you cannot burn itshe wants to give it she wants to give it she wants to give it dare me she wants to give it she wants to give it she wants to give it she wants to give it she wants to give it yea she wants to give it she wants to give itone thing in life you must understand the truth of lust woman to man so open the door and you will see there are no secrets make your move set me freebecause theres something about you baby that makes me want to give it to you i swear theres something about you babyjust promise me whatever we say whatever we do to each other for now we take a vow to just keep it in the closetif you can get it its worth a try i really want it i cant deny its just desire i really love it cause if its aching you have to rub it she wants to give itshe wants to give it she wants to give it she wants to give it dare me she wants to give it she wants to give it she wants to give it she wants to give it she wants to give it yea she wants to give it she wants to give itjust open the door and you will see this passion burns inside of me dont say to me youll never tell touch me there make the move cast the spellbecause theres something about you baby that makes me want to give it to you i swear theres something about you babyjust promise me whatever we say or do to each other for now well make a vow to just keep it in the closetbecause theres something about you baby that makes me want to give it to youbecause theres something about you baby that makes me want to give it to youbecause theres something about you baby that makes me want to give it to youbecause theres something about you baby that makes me want to give it to youbecause theres something about you baby that makes me want to give it to youbecause theres something about you babyjust promise me whatever we say or do to each other for now well make a vow to just keep it in the closetshe wants to give it she wants to give it oh she wants to give it she wants to give it oh she wants to give it she wants to give it she wants to give it oh she wants to give it she wants to give it she wants to give it oh she wants to give it ,1.0
47,will you be there,michael jackson,1993, hold me like the river jordan and i will then say to thee you are my friendcarry me like you are my brother love me like a mother will you be therewhen weary tell me will you hold me when wrong will you scold me when lost will you find mebut they told me a man should be faithful and walk when not able and fight till the end but im only humaneveryones taking control of me seems that the worlds got a role for me im so confused will you show to me youll be there for me and care enough to bear mehold me lay your head lowly softly then boldly carry me therehold me love me and feed me kiss me and free me i will feel blessedcarry carry me boldly lift me up slowly carry me theresave me heal me and bathe me softly you say to me i will be therelift me lift me up slowly carry me boldly show me you carehold me lay your head lowly softly then boldly carry me thereneed me love me and feed me kiss me and free me i will feel blessed ,1.0
21,you are not alone,michael jackson,1995, another day has gone im still all alone how could this be youre not here with meyou never said goodbye someone tell me why did you have to go and leave my world so coldevery day i sit and ask myself how did love slip away something whispers in my ear and saysthat you are not alone i am here with you though youre far away i am here to stayyou are not alone i am here with you though were far apart youre always in my heartyou are not alone alone alone why alonejust the other night i thought i heard you cry asking me to come and hold you in my armsi can hear your prayers your burdens i will bear but first i need your hand then forever can beginevery day i sit and ask myself how did love slip away something whispers in my ear and saysbut you are not alone i am here with you though youre far away i am here to stayyou are not alone i am here with you though were far apart youre always in my heartyou are not aloneoh whisper three words and ill come running fly and girl you know that ill be there ill be therebut you are not alone i am here with you though youre far away i am here to stayyou are not alone i am here with you though were far apart youre always in my heartbut you are not alone you are not alone i am here with you i am here with you though youre far away though youre far away you and me i am here to stayyou are not alone you are always in my heart i am here with you though were far apart youre always in my heartyou are not alonenot alone you are not alone you are not alone say it again you are not alone you are not alone not alone not alone just reach out for me girl in the morning in the evening not alonenot alone you and me not alone alone together together just stop being alone just stop being alone ,1.0
64,butterflies,michael jackson,2002, butterfliesall you gotta do is walk away and pass me by dont acknowledge my smile when i try to say hello to you yeahand all you gotta do is not answer my call when im tryin to get through keep me wonderin why when all i can do is sigh i just wanna touch youi just wanna touch and kiss and i wish that i could be with you tonight cause you give me butterflies inside inside and iall i got to say is that i must be dreamin cant be real youre not here with me still but i can feel you near to mei caress you let you taste and just so blissful listen i would give you anything babe just make my dream come true oh baby you give me butterfliesi just wanna touch and kiss and i wish that i could be with you tonight cause you give me butterflies inside inside andi just wanna touch and kiss and i wish that i could be with you tonight cause you give me butterflies inside inside and iif you will take my hand baby i will show you guide you to the light babeif you will be my love baby i will love you love you til the end of timei just wanna touch and kiss and i wish that i could be with you tonight you give me butterflies inside inside andi just wanna touch and kiss and i wish that i could be with you tonight you give me butterflies inside inside andi just wanna touch and kiss and i wish that i could be with you tonight cause you give me butterflies inside inside andi just wanna touch and kiss and i wish that i could be with you tonight you give me butterflies inside inside and i ,1.0
